Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (kW/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,6.6,9.8,0.6,0,6.6,0,0
1,1,1,0,0,6.8,9.8,0.6,0,6.8,0,0
1,1,2,0,0,7,7.7,0.6,0,7,0,0
1,1,3,0,0,7.2,10.3,0.6,0,7.2,0,0
1,1,4,0,0,7.3,10.8,0.6,0,7.3,0,0
1,1,5,0,0,7.4,10.3,0.6,0,7.4,0,0
1,1,6,0,0,7,8.2,0.6,0,7,0,0
1,1,7,0,0,7.5,9.8,0.6,0,7.5,0,0
1,1,8,0,2,7.7,11.8,0.6,1.903,7.713,3.472,0
1,1,9,0,15,8,10.8,0.6,13.934,8.12,42.717,25.349
1,1,10,0,33,7.6,8.7,0.6,30.701,7.917,101.443,81.995
1,1,11,0,44,8.3,10.3,0.6,40.962,8.672,137.553,116.824
1,1,12,0,45,8.4,9.8,0.6,41.895,8.796,140.832,119.988
1,1,13,0,37,8.8,9.3,0.6,34.431,9.138,114.145,94.246
1,1,14,0,21,8.9,10.3,0.6,19.519,9.076,61.838,43.792
1,1,15,0,5,8.9,8.7,0.6,4.639,8.94,8.774,0
1,1,16,0,0,8.3,8.7,0.6,0,0,0,0
1,1,17,0,0,7.1,8.7,0.6,0,7.1,0,0
1,1,18,0,0,6.3,7.7,0.6,0,6.3,0,0
1,1,19,0,0,6.1,6.7,0.6,0,6.1,0,0
1,1,20,0,0,5.4,8.2,0.6,0,5.4,0,0
1,1,21,0,0,5.5,7.7,0.6,0,5.5,0,0
1,1,22,0,0,5.5,8.2,0.6,0,5.5,0,0
1,1,23,0,0,4.9,8.7,0.6,0,4.9,0,0
1,2,0,0,0,6,9.8,0.6,0,6,0,0
1,2,1,0,0,6,9.8,0.6,0,6,0,0
1,2,2,0,0,5.6,9.8,0.6,0,5.6,0,0
1,2,3,0,0,5.6,8.7,0.6,0,5.6,0,0
1,2,4,0,0,6.6,9.8,0.6,0,6.6,0,0
1,2,5,0,0,6.8,9.8,0.6,0,6.8,0,0
1,2,6,0,0,6.6,7.7,0.6,0,6.6,0,0
1,2,7,0,0,7.1,8.7,0.6,0,7.1,0,0
1,2,8,0,5,7.1,7.7,0.6,4.756,7.145,9.113,0
1,2,9,0,27,7,8.7,0.6,25.126,7.257,79.408,60.74
1,2,10,111,77,7.5,9.8,0.6,147.223,8.891,519.244,484.99
1,2,11,275,98,7.4,10.8,0.6,277.948,9.844,1008.817,957.217
1,2,12,107,112,7.7,9.8,0.6,195.535,9.552,699.597,658.953
1,2,13,31,86,7.8,9.3,0.6,111.458,8.896,389.133,359.49
1,2,14,94,65,7.4,7.7,0.6,121.761,8.768,416.043,385.447
1,2,15,0,19,6.7,5.7,0.6,18.449,6.917,37.622,20.434
1,2,16,0,0,6.3,5.7,0.6,0,0,0,0
1,2,17,0,0,5.8,3.6,0.6,0,5.8,0,0
1,2,18,0,0,4.8,4.1,0.6,0,4.8,0,0
1,2,19,0,0,5,5.1,0.6,0,5,0,0
1,2,20,0,0,5.2,6.2,0.6,0,5.2,0,0
1,2,21,0,0,5.2,7.2,0.6,0,5.2,0,0
1,2,22,0,0,5.7,7.7,0.6,0,5.7,0,0
1,2,23,0,0,5.6,8.2,0.6,0,5.6,0,0
1,3,0,0,0,5.6,8.7,0.6,0,5.6,0,0
1,3,1,0,0,6.3,8.7,0.6,0,6.3,0,0
1,3,2,0,0,7.3,10.3,0.6,0,7.3,0,0
1,3,3,0,0,7.3,10.3,0.6,0,7.3,0,0
1,3,4,0,0,7.4,10.8,0.6,0,7.4,0,0
1,3,5,0,0,7.6,11.8,0.6,0,7.6,0,0
1,3,6,0,0,7.8,9.8,0.6,0,7.8,0,0
1,3,7,0,0,8,10.8,0.6,0,8,0,0
1,3,8,0,2,7.8,11.8,0.6,1.903,7.813,3.47,0
1,3,9,0,15,7.7,11.3,0.6,13.934,7.816,42.834,25.462
1,3,10,0,33,8.4,11.8,0.6,30.701,8.65,101.164,81.725
1,3,11,0,45,8.5,10.3,0.6,41.896,8.881,140.732,119.891
1,3,12,62,99,6.2,9.3,0.6,144.154,7.62,513.748,479.69
1,3,13,0,69,7.3,9.3,0.6,68.141,7.969,233.53,209.401
1,3,14,3,54,7.4,9.3,0.6,56.376,7.951,188.081,165.563
1,3,15,0,16,6.8,6.2,0.6,14.887,6.965,30.056,13.136
1,3,16,0,0,6,7.2,0.6,0,0,0,0
1,3,17,0,0,5.4,8.7,0.6,0,5.4,0,0
1,3,18,0,0,4.3,7.2,0.6,0,4.3,0,0
1,3,19,0,0,3.9,6.7,0.6,0,3.9,0,0
1,3,20,0,0,3.8,8.7,0.6,0,3.8,0,0
1,3,21,0,0,3.9,7.7,0.6,0,3.9,0,0
1,3,22,0,0,3.9,9.8,0.6,0,3.9,0,0
1,3,23,0,0,4,8.7,0.6,0,4,0,0
1,4,0,0,0,4.2,8.2,0.6,0,4.2,0,0
1,4,1,0,0,4.1,12.9,0.6,0,4.1,0,0
1,4,2,0,0,4,10.8,0.6,0,4,0,0
1,4,3,0,0,3.3,7.7,0.6,0,3.3,0,0
1,4,4,0,0,2.9,7.7,0.6,0,2.9,0,0
1,4,5,0,0,2.8,9.8,0.6,0,2.8,0,0
1,4,6,0,0,2.8,9.3,0.6,0,2.8,0,0
1,4,7,0,0,3,10.3,0.6,0,3,0,0
1,4,8,0,2,2.4,12.3,0.6,1.903,2.413,3.575,0
1,4,9,0,16,2.2,10.3,0.6,14.865,2.333,47.021,29.501
1,4,10,0,34,3,10.3,0.6,31.634,3.287,106.807,87.168
1,4,11,0,82,3.2,9.3,0.6,81.799,4.004,287.713,261.664
1,4,12,0,85,3.9,8.2,0.6,84.87,4.817,298.161,271.742
1,4,13,0,70,5,7.2,0.6,69.18,5.82,239.363,215.027
1,4,14,0,40,5.6,7.2,0.6,37.949,6.048,125.71,105.402
1,4,15,0,14,5.3,7.2,0.6,13.018,5.43,26.312,9.526
1,4,16,0,0,4.8,7.2,0.6,0,0,0,0
1,4,17,0,0,4.4,6.2,0.6,0,4.4,0,0
1,4,18,0,0,4.2,7.2,0.6,0,4.2,0,0
1,4,19,0,0,4,6.2,0.6,0,4,0,0
1,4,20,0,0,3.8,7.2,0.6,0,3.8,0,0
1,4,21,0,0,3.8,8.7,0.6,0,3.8,0,0
1,4,22,0,0,3.2,9.3,0.6,0,3.2,0,0
1,4,23,0,0,3,10.3,0.6,0,3,0,0
1,5,0,0,0,3,8.2,0.6,0,3,0,0
1,5,1,0,0,3,7.7,0.6,0,3,0,0
1,5,2,0,0,2.5,7.7,0.6,0,2.5,0,0
1,5,3,0,0,1.8,6.2,0.6,0,1.8,0,0
1,5,4,0,0,1.2,8.2,0.6,0,1.2,0,0
1,5,5,0,0,1,7.2,0.6,0,1,0,0
1,5,6,0,0,1.3,6.2,0.6,0,1.3,0,0
1,5,7,0,0,1.1,6.2,0.6,0,1.1,0,0
1,5,8,0,4,1.5,8.2,0.6,3.805,1.535,7.425,0
1,5,9,62,40,1.3,7.2,0.6,67.632,2.092,226.306,202.433
1,5,10,0,62,1.6,6.2,0.6,60.972,2.401,212.056,188.688
1,5,11,0,83,1.9,6.7,0.6,82.86,2.934,292.843,266.612
1,5,12,0,86,2.2,6.7,0.6,85.909,3.273,303.814,277.194
1,5,13,0,71,2.3,4.1,0.6,70.209,3.499,245.39,220.84
1,5,14,0,41,2.9,4.1,0.6,38.982,3.563,130.758,110.271
1,5,15,0,20,3,6.2,0.6,19.274,3.214,40.054,22.78
1,5,16,0,0,2.4,5.7,0.6,0,0,0,0
1,5,17,0,0,1.8,5.7,0.6,0,1.8,0,0
